l1	000-999	Dewey Decimal System
l4	839	Other Germanic literatures
l3	840-849	French & related literatures 	
l4	840	French and related literatures
l4	841	French poetry 
l4	842	French drama
l4	843	French fiction
l4	844	French essays
l4	845	French speeches 
l4	846	French letters 
l4	847	French humor and satire
l4	848	French miscellaneous writings
l4	849	Occitan & Catalan literatures
l3	850-859	Italian, Romanian & related literatures 	
l4	850	Italian, Romanian & related literatures
l4	851	Italian poetry
l4	852	Italian drama
l4	853	Italian fiction
l4	854	Italian essays
l4	855	Italian speeches 
l4	856	Italian letters 
l4	857	Italian humor and satire
l4	858	Italian miscellaneous writings 
l4	859	Romanian & related literatures 
l3	860-869	Spanish, Portuguese, Galician literatures	
l4	860	Spanish & Portuguese literatures 
l4	861	Spanish poetry
l4	862	Spanish drama
l4	863	Spanish fiction
l4	864	Spanish essays
l4	865	Spanish speeches 
l4	866	Spanish letters 
l4	867	Spanish humor and satire
l4	868	Spanish miscellaneous writings 
l4	869	Portuguese and Galician literatures
l3	870-879	Latin & Italic literatures 	
l4	870	Latin & related Italic literatures
l4	871	Latin poetry 
l4	872	Latin dramatic poetry and drama
l4	873	Latin epic poetry and fiction
l4	874	Latin lyric poetry
l4	875	Latin speeches 
l4	876	Latin letters 
l4	877	Latin humor and satire
l4	878	Latin miscellaneous writings 
l4	879	Literatures of other Italic languages 
l3	880-889	Classical & modern Greek literatures 	
l4	880	Classical Greek & Hellenic literatures
l4	881	Classical Greek poetry 
l4	882	Classical Greek dramatic poetry & drama 
l4	883	Classical Greek epic poetry and fiction
l4	884	Classical Greek lyric poetry 
l4	885	Classical Greek speeches 
l4	886	Classical Greek letters 
l4	887	Classical Greek humor and satire
l4	888	Classical Greek miscellaneous writings 
l4	889	Modern Greek literature 
l3	890-899	Other literatures	
l4	890	Literatures of other languages 
l4	891	East Indo-European and Celtic literatures
l4	892	Afro-Asiatic literatures
l4	893	Non-Semitic Afro-Asiatic literatures 
l4	894	Altaic, Uralic, Hyperborean & Dravidian 
